Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2025-06-26,3417.413330078125,3426.945164265374,3391.10109463089,3420.392073713661,2879106,2025-06-26
2025-06-27,3416.718505859375,3441.8390511551324,3406.689971497181,3430.5199217495656,1778433,2025-06-27
2025-06-30,3437.469970703125,3440.3493257651157,3405.696706964679,3415.526463469455,1468351,2025-06-30
2025-07-01,3405.39892578125,3460.3071479452915,3389.313758826758,3430.5197119515014,2375183,2025-07-01
2025-07-02,3399.044189453125,3465.1721484055424,3395.7675231854428,3462.491327790443,3090585,2025-07-02
2025-07-03,3376.703857421875,3410.959409470928,3373.5265793371623,3405.6969138623963,2531870,2025-07-03
2025-07-04,3395.5693359375,3402.718272445599,3366.0798213348503,3383.852895387978,1109320,2025-07-04
2025-07-07,3387.526611328125,3401.8247266726726,3384.249944744325,3394.0799444957242,1639174,2025-07-07
2025-07-08,3382.0654296875,3400.732271367233,3369.3560751984837,3380.873980731512,2325242,2025-07-08
2025-07-09,3359.824462890625,3389.8104352475048,3343.1434491735054,3385.838776858228,2034938,2025-07-09
2025-07-10,3358.037109375,3374.91665723407,3332.2213302964224,3356.0512802151093,3035012,2025-07-10
2025-07-11,3242.859130859375,3311.3702392578125,3237.993946212789,3276.5188393255935,7635550,2025-07-11
2025-07-14,3199.86572265625,3248.8164592313483,3177.3266104952063,3242.8589718366698,3924009,2025-07-14
2025-07-15,3229.256103515625,3236.3056515140206,3183.2841104563845,3183.2841104563845,2590889,2025-07-15
2025-07-16,3221.08642578125,3232.842384321887,3208.632873739526,3215.0089950915135,2540733,2025-07-16
2025-07-17,3197.275146484375,3229.9533162828457,3192.194243099011,3212.1199267281463,2947640,2025-07-17
2025-07-18,3178.046875,3216.802476353157,3175.157748110912,3213.0165477432356,3432645,2025-07-18
2025-07-21,3146.464599609375,3185.718341629892,3140.287686436296,3178.1464846864797,3844346,2025-07-21
2025-07-22,3147.859619140625,3168.283445003984,3142.8781981983425,3147.859619140625,3198036,2025-07-22
2025-07-23,3167.287109375,3170.1762361812234,3145.866999671073,3147.859568015624,1922875,2025-07-23
2025-07-24,3136.302734375,3161.9071902624382,3128.332460590057,3153.339291883696,2934778,2025-07-24
2025-07-25,3124.14794921875,3145.169399267611,3113.9858993305074,3128.3322940864455,2568917,2025-07-25
2025-07-28,3067.85791015625,3106.4140591000596,3058.4926929668136,3098.443785696339,3374473,2025-07-28
2025-07-29,3044.64453125,3062.5776469445354,3029.8994763655814,3048.629668071008,4785312,2025-07-29
2025-07-30,3042.25341796875,3057.5960967882907,3035.877053384358,3048.6295393197033,2880121,2025-07-30
2025-07-31,3025.515869140625,3048.430405452322,3003.796825207198,3030.3975643658264,2968371,2025-07-31
2025-08-01,2991.84130859375,3025.515761579588,2988.8524561376125,3018.64125499041,2053847,2025-08-01
2025-08-04,3062.97607421875,3067.957495262713,2980.483936317478,2997.9189099713494,2519252,2025-08-04
2025-08-05,3052.51513671875,3066.064699458969,3030.696609505827,3062.9761210710876,1927996,2025-08-05
2025-08-06,3021.032470703125,3055.40427380999,3014.75583192388,3051.618345400808,1487081,2025-08-06
