Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2021-07-26,2855.13525390625,2907.4163782426567,2823.541185616934,2884.475825456928,8773572,2021-07-26
2021-08-02,2983.44970703125,2996.2495256120096,2854.729918054523,2866.4481021197926,14169885,2021-08-02
2021-08-09,3121.904296875,3136.867603932473,2983.629818682898,2996.1591730966725,11154762,2021-08-09
2021-08-16,3208.528564453125,3240.528217224044,3097.656528091913,3118.839396827592,11886965,2021-08-16
2021-08-23,3353.338623046875,3361.7667897667725,3210.692264424917,3227.0076705630904,14225841,2021-08-23
2021-08-30,3463.21923828125,3478.633025429902,3323.9982402588043,3348.696478886083,13034459,2021-08-30
2021-09-06,3417.562744140625,3495.2634836103744,3385.6533200459976,3470.1143293040395,8897055,2021-09-06
2021-09-13,3450.41943359375,3589.1446188355108,3395.5692293974685,3395.5692293974685,15567844,2021-09-13
2021-09-20,3489.584716796875,3555.476827563498,3432.391015172557,3433.427535616322,9638827,2021-09-20
2021-09-27,3362.397705078125,3519.060857984597,3355.14140084249,3515.4552628432193,10246384,2021-09-27
2021-10-04,3547.589599609375,3596.49047762299,3341.890466430226,3357.5298214350664,9494552,2021-10-04
2021-10-11,3255.3564453125,3387.0057756975343,3252.426899398723,3384.7522788407828,27586233,2021-10-11
2021-10-18,3159.910888671875,3332.634195069973,3147.4024721431215,3254.377986961943,17222122,2021-10-18
2021-10-25,3068.60400390625,3187.1395864278293,3057.947046484346,3163.658251985459,15370613,2021-10-25
2021-11-01,3168.760986328125,3178.921179590034,3082.3316530782117,3104.9098603268985,6974762,2021-11-01
2021-11-08,3184.47607421875,3204.2996993429415,3103.1493142453064,3204.2996993429415,8857036,2021-11-08
2021-11-15,3139.0029296875,3229.18037695733,3117.237670357482,3186.236582994924,7591873,2021-11-15
2021-11-22,3112.94775390625,3175.353784833728,3077.6805509976875,3141.4412743250564,11274013,2021-11-22
2021-11-29,3287.793212890625,3310.8229834006474,3076.4612011515947,3113.218477044042,16311510,2021-11-29
2021-12-06,3284.4970703125,3303.643346318856,3180.817896592403,3287.793400436241,7841435,2021-12-06
2021-12-13,3237.1279296875,3307.255752239996,3213.465792424508,3296.4182129098817,11640416,2021-12-13
2021-12-20,3315.293701171875,3346.0904654467413,3170.1158220030316,3241.327579079178,9880411,2021-12-20
2021-12-27,3376.20947265625,3395.7621104418013,3299.2177918277494,3315.383698785067,7620892,2021-12-27
2022-01-03,3480.204345703125,3512.400776236565,3382.2149408740634,3386.730581649596,10838679,2022-01-03
2022-01-10,3583.74853515625,3592.644437255584,3464.896981190297,3592.644437255584,19079572,2022-01-10
2022-01-17,3462.142333984375,3651.3477126121893,3405.787216326676,3605.9203150774733,18223318,2022-01-17
2022-01-24,3338.444580078125,3482.8370026469493,3279.683368279671,3474.106588763266,15451074,2022-01-24
2022-01-31,3451.398193359375,3512.5570339303576,3366.8073156587984,3391.7775454487855,11096678,2022-01-31
2022-02-07,3342.877197265625,3466.6875538182385,3338.3989014514173,3429.775131545345,12468260,2022-02-07
2022-02-14,3432.398681640625,3486.862709776286,3356.4931697380675,3369.159181699343,19963589,2022-02-14
2022-02-21,3185.27587890625,3463.068711157677,3067.9796475242724,3446.9647372386034,22889515,2022-02-21
2022-02-28,3188.533203125,3237.614004258963,3126.6052690473266,3157.4561466826285,10348579,2022-02-28
2022-03-07,3256.2060546875,3332.9712379184593,3104.5758996259024,3121.2678530995345,12703640,2022-03-07
2022-03-14,3322.79296875,3356.4936121605065,3238.8806284459874,3238.8806284459874,12107748,2022-03-14
2022-03-21,3354.186767578125,3419.371550532853,3270.5458804540976,3343.8278213439407,10486816,2022-03-21
2022-03-28,3400.598388671875,3404.4434284196254,3312.343373345029,3342.9227924556244,9588632,2022-03-28
2022-04-04,3334.464111328125,3470.126357608819,3295.4257315077707,3403.5392181008187,10631272,2022-04-04
2022-04-11,3313.022216796875,3382.730576271087,3300.7182209904795,3338.3995256593503,8396808,2022-04-11
2022-04-18,3268.3291015625,3296.7823518340365,3111.4513455978663,3266.022033512863,13493637,2022-04-18
2022-04-25,3208.753173828125,3278.0091626390154,3172.202770170488,3218.976499184328,9386586,2022-04-25
2022-05-02,3105.52587890625,3209.884657974458,3098.1975965029696,3184.507349210817,7253060,2022-05-02
2022-05-09,3089.511962890625,3134.6573855742186,3027.946267945919,3074.2223637937777,10941302,2022-05-09
2022-05-16,2979.22705078125,3161.9795148741177,2922.229995148326,3089.602301371992,12524758,2022-05-16
2022-05-23,2950.547607421875,3020.7533715953027,2853.516906119275,2989.9027170411114,13469585,2022-05-23
2022-05-30,3133.321044921875,3167.15774945679,2993.238729205371,3002.9387609154137,13000985,2022-05-30
2022-06-06,3060.228271484375,3145.0247116184605,3048.023515039438,3113.1463841042278,8384952,2022-06-06
2022-06-13,2813.399169921875,2999.295464227616,2754.1511941708545,2996.563035927378,14319412,2022-06-13
2022-06-20,2999.386474609375,3046.6573927433797,2795.274002490114,2818.044237114504,13628241,2022-06-20
2022-06-27,3019.424560546875,3062.9610752858475,2961.997979035833,3051.21172207841,9794208,2022-06-27
2022-07-04,2974.20263671875,3023.340761456707,2916.6395246739826,3016.6008605574925,11102143,2022-07-04
2022-07-11,2727.51025390625,2937.360676549799,2689.6204892562964,2920.191828300313,23912659,2022-07-11
2022-07-18,2895.80029296875,2919.5438463011965,2752.6997680517825,2760.6446816917473,12966646,2022-07-18
2022-07-25,3015.340087890625,3029.4037119940576,2827.7660917357744,2890.3212273029953,10363269,2022-07-25
2022-08-01,3073.009765625,3093.876564625826,2987.121973671657,3038.261940203486,8729351,2022-08-01
2022-08-08,3106.342041015625,3131.1357032723113,3045.5676259580932,3072.964036386502,5868797,2022-08-08
2022-08-15,3091.913330078125,3124.560720331479,3070.2245043853377,3106.342151340051,5291337,2022-08-15
2022-08-22,2942.556884765625,3090.406303765492,2935.7534878802157,3072.963834424738,8482603,2022-08-22
2022-08-29,2858.723876953125,2946.4837965537363,2813.611212515748,2853.7926124997443,11570533,2022-08-29
2022-09-05,2938.402099609375,2952.8766265609283,2832.7890198212463,2852.56000809964,8283197,2022-09-05
2022-09-12,2747.5859375,2986.026117060201,2739.6410231234536,2958.7208944248696,16309119,2022-09-12
2022-09-19,2723.2490234375,2812.6525576125932,2720.4636769957488,2772.5168591336333,10540690,2022-09-19
2022-09-26,2743.796142578125,2790.6440478555155,2672.1545756503956,2702.975536628606,13203958,2022-09-26
2022-10-03,2798.908203125,2852.879214709774,2715.8971781520063,2735.0746632700934,7639901,2022-10-03
2022-10-10,2830.185546875,2876.6225428186503,2744.2065844984268,2748.7726520267106,13760713,2022-10-10
2022-10-17,2865.11669921875,2886.12061524259,2804.8902976452546,2805.98610954294,7114530,2022-10-17
2022-10-24,2896.19970703125,2915.426829088519,2869.739614183324,2902.471500542723,6124752,2022-10-24
2022-10-31,2945.777587890625,2993.9370313852824,2898.854262857446,2928.931059144195,9203094,2022-10-31
2022-11-07,3036.008056640625,3059.4927450488603,2902.379614067925,2956.398666821871,7475251,2022-11-07
2022-11-14,3061.18603515625,3083.571849264627,3014.0796407621565,3043.3781062859684,7073543,2022-11-14
2022-11-21,3103.485595703125,3116.02917985949,2980.4321320698077,3042.0046874439554,6489516,2022-11-21
2022-11-28,3148.806884765625,3186.208298602134,3081.4205445221232,3081.832509509995,11774772,2022-11-28
2022-12-05,3014.76611328125,3148.806494292144,2999.7507401593734,3143.175785253825,6893084,2022-12-05
2022-12-12,2966.698486328125,3091.903645808218,2952.9190072516453,2980.6610361056123,8238311,2022-12-12
2022-12-19,2955.8037109375,3015.9112640530116,2896.5656879170388,2954.567592319086,7827884,2022-12-19
2022-12-26,2981.76025390625,3020.4892145796493,2952.7823246331986,2955.8037741309063,4817893,2022-12-26
2023-01-02,2940.422119140625,3055.5559566521583,2929.847157351141,2985.6973687881473,7500826,2023-01-02
2023-01-09,3089.660888671875,3093.7351622471083,2949.211220997247,2956.398590972451,13463455,2023-01-09
2023-01-16,3079.177490234375,3121.15656691254,3019.6191540939194,3036.9692957474917,9067664,2023-01-16
2023-01-23,3194.06787109375,3232.3660672905266,3142.145177214588,3172.484071578891,5115768,2023-01-23
2023-01-30,3260.78564453125,3281.1052287934076,3137.837791577257,3202.4485965963054,10597650,2023-01-30
2023-02-06,3312.52099609375,3321.9317457073025,3218.2267252118577,3252.2174429463753,7424555,2023-02-06
2023-02-13,3278.4365234375,3347.588905988616,3240.044594725463,3323.242804854153,6777506,2023-02-13
2023-02-20,3184.142578125,3297.9606584979883,3167.147216431284,3279.2328864451893,6073215,2023-02-20
2023-02-27,3129.55078125,3176.2298401264743,3089.9883665255475,3174.3570630980976,9513274,2023-02-27
2023-03-06,3119.1103515625,3188.3562411445287,3080.7184198861078,3148.044667162218,5851626,2023-03-06
2023-03-13,2977.059814453125,3155.4418123593505,2944.0052567830558,3120.982672028602,14993115,2023-03-13
2023-03-20,2922.0009765625,2968.352217818659,2898.1699295579538,2968.0243903251626,7930499,2023-03-20
2023-03-27,3001.9677734375,3008.6162231712983,2906.643607891754,2935.5779208347403,6950944,2023-03-27
2023-04-03,3015.826171875,3056.6996640256293,2971.8627807926127,3019.8058227039464,5880359,2023-04-03
2023-04-10,2986.00244140625,3064.752573971006,2977.715312065279,3015.1708505818233,11143763,2023-04-10
2023-04-17,2959.783935546875,2963.154797269729,2874.947038725737,2934.73554102333,15769567,2023-04-17
2023-04-24,3014.468994140625,3021.9601029246974,2927.291124221784,2950.6542026305074,11030553,2023-04-24
2023-05-01,3025.190185546875,3037.644197925073,2971.3009833541937,3014.4685832830737,8452724,2023-05-01
2023-05-08,3066.017333984375,3099.1654000103144,3025.752622933073,3038.581101429643,6342699,2023-05-08
2023-05-15,3017.839599609375,3082.5907693128156,2991.7610899011074,3075.0996617324686,6247324,2023-05-15
2023-05-22,3117.143798828125,3126.2735873258735,3012.408875125375,3024.5350613054147,7203248,2023-05-22
2023-05-29,3095.326171875,3157.502281949621,3057.4490710432897,3147.0147756083043,11577995,2023-05-29
2023-06-05,3005.151611328125,3115.3644903160393,3001.4529225336128,3104.1278284934388,8986568,2023-06-05
2023-06-12,2972.940185546875,3057.3088929969035,2955.2425317911875,3010.489461251162,11785076,2023-06-12
2023-06-19,3034.15185546875,3082.545653672243,2995.1441381126856,3009.29442537936,7291733,2023-06-19
2023-06-26,3115.185791015625,3122.4967728856745,2993.2574804731858,3023.4447604527454,7090623,2023-06-26
2023-07-03,3140.656982421875,3166.7405925019775,3083.5841439638066,3126.553905592314,8434517,2023-07-03
2023-07-10,3315.55419921875,3325.1765802071545,3065.990447435329,3136.4116285100185,14924090,2023-07-10
2023-07-17,3177.494384765625,3348.807066669043,3168.768373830433,3311.167392705296,13234315,2023-07-17
2023-07-24,3173.5556640625,3235.4588184086915,3150.478102359202,3197.768377086899,8321515,2023-07-24
2023-07-31,3256.928955078125,3282.8912728953396,3178.757982851944,3182.068302487534,10889588,2023-07-31
2023-08-07,3261.894775390625,3300.8145879522494,3228.9806905354094,3266.7655824281505,8059378,2023-08-07
2023-08-14,3184.6220703125,3278.162150090613,3174.59643877067,3254.2332226630874,6888860,2023-08-14
2023-08-21,3198.052490234375,3228.081817741152,3168.6851804592197,3192.093868830644,6238564,2023-08-21
2023-08-28,3196.06640625,3232.19613589754,3162.4429692110893,3210.064376051706,7865804,2023-08-28
2023-09-04,3255.367919921875,3277.2161197507,3187.411932001779,3194.931039687695,8049001,2023-09-04
2023-09-11,3403.29248046875,3411.8520676923513,3258.3004296801664,3274.379125559575,13572167,2023-09-11
2023-09-18,3408.352294921875,3436.821136153463,3336.802192872217,3386.031421066319,7038305,2023-09-18
2023-09-25,3337.369873046875,3423.8164161629584,3315.569006867015,3407.264817466038,8505518,2023-09-25
2023-10-02,3425.140380859375,3437.956093195864,3288.8499295251113,3337.3698040265576,8802745,2023-10-02
2023-10-09,3377.330078125,3479.618863188133,3333.964798243591,3447.5088086890923,15639277,2023-10-09
2023-10-16,3305.1650390625,3380.923929842345,3257.401855779826,3372.742803683498,7747170,2023-10-16
2023-10-23,3177.548095703125,3298.9244702167944,3157.6822432071826,3293.282411609173,5718131,2023-10-23
2023-10-30,3177.500732421875,3223.1117921331474,3139.665532142645,3176.647397365709,6122240,2023-10-30
2023-11-06,3160.95361328125,3227.9950476477634,3150.4281448953298,3200.3535679525667,6734804,2023-11-06
2023-11-13,3321.208740234375,3346.716885350795,3154.837794345267,3182.3371318974196,9064068,2023-11-13
2023-11-20,3278.205322265625,3360.6084099172604,3274.3173926197233,3310.5880674728087,9800445,2023-11-20
2023-11-27,3329.931884765625,3335.953382706752,3255.351893926174,3278.2048792303044,7569205,2023-11-27
2023-12-04,3439.028564453125,3456.3816379078157,3316.9884689716155,3361.224371816919,8508249,2023-12-04
2023-12-11,3661.204345703125,3694.345737340675,3378.62498931371,3435.42524385091,19011963,2023-12-11
2023-12-18,3626.119384765625,3725.68594737033,3549.64287475827,3658.4549038905543,11042750,2023-12-18
2023-12-25,3597.102294921875,3639.394464944317,3570.5512149274923,3626.1189249471254,5837092,2023-12-25
2024-01-01,3544.474609375,3633.705304577178,3462.0715206188092,3593.878680675236,9534321,2024-01-01
2024-01-08,3681.87646484375,3703.1646964851307,3482.3639126137423,3544.4744785492844,12322335,2024-01-08
2024-01-15,3739.0087890625,3759.822894725583,3615.261780799779,3755.0816300411875,12873958,2024-01-15
2024-01-22,3638.299560546875,3765.0571020720213,3608.12592069105,3765.0571020720213,7481717,2024-01-22
2024-01-29,3787.2578125,3804.5406228744723,3610.1792335329496,3629.228626545211,10707343,2024-01-29
2024-02-05,3947.10107421875,3995.846442629643,3783.2471666317674,3803.203627694335,12735955,2024-02-05
2024-02-12,3941.94482421875,3981.7626370855323,3866.7021100426527,3943.5682712621697,6061552,2024-02-12
2024-02-19,3869.184814453125,3943.5682482113766,3791.7456449509386,3936.9317906924316,9372002,2024-02-19
2024-02-26,3909.52734375,3967.3438741976556,3802.964977819926,3853.811223521743,12094968,2024-02-26
2024-03-04,3923.1337890625,3937.83852444609,3779.7615700330634,3919.6962034071776,8253239,2024-03-04
2024-03-11,4028.789306640625,4049.55749231804,3901.55433001922,3904.418907354036,15473880,2024-03-11
2024-03-18,3734.3583984375,4062.686796517096,3680.9818674595226,4024.9698616883925,21958093,2024-03-18
2024-03-25,3701.3203125,3768.5422987396137,3656.5372816058043,3734.3582969216714,9721283,2024-03-25
2024-04-01,3799.623046875,3846.7929928343356,3677.1623681637557,3721.754241195255,12716888,2024-04-01
2024-04-08,3820.773193359375,3850.6125408893595,3741.138035919314,3803.2038787816814,10636316,2024-04-08
2024-04-15,3653.48193359375,3880.7384051038175,3629.323951132775,3820.7732054931466,13685782,2024-04-15
2024-04-22,3648.850830078125,3722.040685141114,3630.8994327921014,3663.794281397243,9749230,2024-04-22
