Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Datetime,,,,,,
2025-12-01 03:30:00+00:00,3144.0,3150.0,3137.60009765625,3139.0,44658,2025-12-01
2025-12-01 04:00:00+00:00,3133.89990234375,3154.0,3133.5,3144.199951171875,111214,2025-12-01
2025-12-01 04:30:00+00:00,3139.5,3142.0,3133.0,3133.89990234375,75064,2025-12-01
2025-12-01 05:00:00+00:00,3134.0,3140.60009765625,3131.39990234375,3140.60009765625,57728,2025-12-01
2025-12-01 05:30:00+00:00,3135.699951171875,3136.89990234375,3130.39990234375,3134.0,101673,2025-12-01
2025-12-01 06:00:00+00:00,3137.60009765625,3141.800048828125,3131.300048828125,3135.699951171875,111678,2025-12-01
2025-12-01 06:30:00+00:00,3137.39990234375,3140.699951171875,3135.0,3137.5,60199,2025-12-01
2025-12-01 07:00:00+00:00,3135.0,3137.10009765625,3130.0,3135.800048828125,107249,2025-12-01
2025-12-01 07:30:00+00:00,3129.800048828125,3134.10009765625,3128.39990234375,3134.10009765625,104277,2025-12-01
2025-12-01 08:00:00+00:00,3129.5,3134.10009765625,3128.199951171875,3129.60009765625,228292,2025-12-01
2025-12-01 08:30:00+00:00,3126.0,3130.0,3122.300048828125,3129.89990234375,208064,2025-12-01
2025-12-01 09:00:00+00:00,3127.0,3131.5,3124.39990234375,3126.0,215590,2025-12-01
2025-12-01 09:30:00+00:00,3135.10009765625,3138.89990234375,3127.300048828125,3127.300048828125,241148,2025-12-01
2025-12-02 03:30:00+00:00,3130.39990234375,3139.89990234375,3125.300048828125,3132.0,91934,2025-12-02
2025-12-02 04:00:00+00:00,3127.199951171875,3136.800048828125,3125.0,3130.699951171875,194973,2025-12-02
2025-12-02 04:30:00+00:00,3129.60009765625,3132.89990234375,3125.5,3127.300048828125,149695,2025-12-02
2025-12-02 05:00:00+00:00,3128.199951171875,3141.0,3127.10009765625,3129.60009765625,155982,2025-12-02
2025-12-02 05:30:00+00:00,3123.89990234375,3132.0,3120.5,3128.10009765625,151275,2025-12-02
2025-12-02 06:00:00+00:00,3132.60009765625,3133.0,3123.39990234375,3123.89990234375,99984,2025-12-02
2025-12-02 06:30:00+00:00,3141.0,3144.0,3130.89990234375,3132.699951171875,136971,2025-12-02
2025-12-02 07:00:00+00:00,3137.0,3142.89990234375,3134.39990234375,3141.60009765625,125080,2025-12-02
2025-12-02 07:30:00+00:00,3134.0,3140.199951171875,3134.0,3137.199951171875,109267,2025-12-02
2025-12-02 08:00:00+00:00,3137.0,3139.39990234375,3133.5,3134.5,124271,2025-12-02
2025-12-02 08:30:00+00:00,3133.5,3141.0,3133.199951171875,3137.800048828125,161637,2025-12-02
2025-12-02 09:00:00+00:00,3133.10009765625,3135.5,3128.300048828125,3133.5,241198,2025-12-02
2025-12-02 09:30:00+00:00,3137.5,3139.39990234375,3131.199951171875,3133.199951171875,615113,2025-12-02
2025-12-03 03:30:00+00:00,3168.800048828125,3177.39990234375,3141.89990234375,3143.39990234375,198884,2025-12-03
2025-12-03 04:00:00+00:00,3167.800048828125,3172.10009765625,3155.0,3168.800048828125,219154,2025-12-03
2025-12-03 04:30:00+00:00,3184.10009765625,3186.10009765625,3155.5,3167.60009765625,364831,2025-12-03
2025-12-03 05:00:00+00:00,3190.0,3192.0,3179.10009765625,3184.39990234375,344860,2025-12-03
2025-12-03 05:30:00+00:00,3192.0,3196.800048828125,3187.5,3190.5,257231,2025-12-03
2025-12-03 06:00:00+00:00,3210.39990234375,3210.5,3191.300048828125,3192.0,380118,2025-12-03
2025-12-03 06:30:00+00:00,3198.0,3211.5,3196.60009765625,3210.0,486889,2025-12-03
2025-12-03 07:00:00+00:00,3179.0,3198.0,3175.10009765625,3197.0,270887,2025-12-03
2025-12-03 07:30:00+00:00,3186.60009765625,3188.5,3177.5,3179.0,316284,2025-12-03
2025-12-03 08:00:00+00:00,3184.10009765625,3195.300048828125,3182.0,3186.60009765625,247816,2025-12-03
2025-12-03 08:30:00+00:00,3177.800048828125,3186.699951171875,3177.0,3184.39990234375,149638,2025-12-03
2025-12-03 09:00:00+00:00,3180.39990234375,3182.699951171875,3177.5,3177.5,97367,2025-12-03
2025-12-03 09:30:00+00:00,3180.0,3184.800048828125,3174.5,3182.60009765625,507018,2025-12-03
2025-12-04 03:30:00+00:00,3219.699951171875,3224.0,3189.0,3189.0,314365,2025-12-04
2025-12-04 04:00:00+00:00,3236.0,3236.199951171875,3214.199951171875,3220.0,634042,2025-12-04
2025-12-04 04:30:00+00:00,3241.0,3243.60009765625,3233.10009765625,3235.699951171875,639818,2025-12-04
2025-12-04 05:00:00+00:00,3240.5,3244.0,3236.10009765625,3242.0,218850,2025-12-04
2025-12-04 05:30:00+00:00,3241.5,3243.199951171875,3234.0,3240.5,228696,2025-12-04
2025-12-04 06:00:00+00:00,3241.0,3249.60009765625,3235.10009765625,3241.89990234375,754780,2025-12-04
2025-12-04 06:30:00+00:00,3238.199951171875,3242.0,3235.0,3241.0,229947,2025-12-04
2025-12-04 07:00:00+00:00,3235.39990234375,3239.89990234375,3231.39990234375,3238.199951171875,334805,2025-12-04
2025-12-04 07:30:00+00:00,3233.800048828125,3239.0,3233.0,3235.5,208418,2025-12-04
2025-12-04 08:00:00+00:00,3225.10009765625,3235.0,3225.0,3233.800048828125,249083,2025-12-04
