Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Quarter,Day,Weekday,Daily Return,Cumulative Return,MACD,Signal_Line,RSI,52W_High,Lag_1,Lag_2,Rolling_Mean_7,Rolling_Std_7
2004-09-01,92.01495942048793,92.4796814377631,91.4201129692252,91.8197784423828,19935544,0.0,0.0,2004,9,3,1,Wednesday,-0.00020178724181274532,3.1105166913696594,5.2920939015716755,4.222768504702227,74.40719001217523,111.41242437423156,91.83831024169922,91.71379089355467,90.47166115897042,2.2978192125406487
2004-09-02,92.00566686632033,93.37194505312132,91.64318142520403,92.35513305664062,21356352,0.0,0.0,2004,9,3,2,Thursday,0.005830493422435801,3.128652538479067,5.369805917134215,4.452175987188625,74.51214843909841,111.41242437423156,91.8197784423828,91.83831024169922,91.43111310686383,0.9511886842011696
2004-09-03,93.50204436826417,102.2388159096328,92.04839293329547,92.74547576904295,9869856,0.0,0.0,2004,9,3,3,Friday,0.004226540523339706,3.1418759152163984,5.400635479978746,4.641867885746649,85.55578317240594,111.41242437423156,92.35513305664062,91.8197784423828,91.5626950945173,1.0708435856325023
2004-09-06,96.65285480736708,96.65285480736708,92.28446931905452,92.46663665771484,9038672,0.0,0.0,2004,9,3,6,Monday,-0.003006498257904111,3.1324298707507494,5.3410004165745875,4.781694391912237,84.54011691116285,111.41242437423156,92.74547576904295,92.35513305664062,91.77327946254185,1.084885241982456
2004-09-07,96.19740242712228,96.19740242712228,92.47962842027697,92.53539276123048,5772232,0.0,0.0,2004,9,3,7,Tuesday,0.0007435774242567916,3.1347590748857073,5.238896504312478,4.8731348143922855,84.5729091696112,111.41242437423156,92.46663665771484,92.74547576904295,92.2106454031808,0.41153927079806296
2004-09-08,92.5725966094624,93.0187284705958,92.11716690719382,92.35882568359376,6593984,0.0,0.0,2004,9,3,8,Wednesday,-0.0019081031848248164,3.128777631111259,5.085112914388944,4.915530434391617,83.08991929559217,111.41242437423156,92.53539276123048,92.46663665771484,92.30279323032924,0.3492472538389328
2004-09-09,92.6655497218583,92.7492019355917,90.94236290567476,91.08177947998048,7947184,0.0,0.0,2004,9,3,9,Thursday,-0.013827007805277125,3.085515998384907,4.804804559438239,4.893385259400942,82.09904414844766,111.41242437423156,92.35882568359376,92.53539276123048,92.19471740722656,0.5664523093963879
2004-09-10,92.0149157133987,92.0149157133987,90.71369468310822,91.90338134765624,6415072,0.0,0.0,2004,9,3,10,Friday,0.009020485462257977,3.1133488505919025,4.595975033642574,4.833903214249268,80.02830072323239,111.41242437423156,91.08177947998048,92.35882568359376,92.20666067940849,0.5580484287404301
2004-09-13,92.1078640377575,94.38500093879186,92.1078640377575,93.26966857910156,20904912,0.0,0.0,2004,9,3,13,Monday,0.01486656107109785,3.1596336414148594,4.488977947466196,4.7649181608926545,74.09622096118807,111.41242437423156,91.90338134765624,91.08177947998048,92.33730861118862,0.6900444268762663
2004-09-14,93.40910248403104,94.69173380147562,93.21949798988048,94.39988708496094,15335472,0.0,0.0,2004,9,3,14,Tuesday,0.012117749779509968,3.1979212912764465,4.44415175850807,4.700764880415738,61.94722149079957,111.41242437423156,93.26966857910156,91.90338134765624,92.57365308489118,1.045114541278287
