ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,diwali,diwali_lower,diwali_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-09-03,1103.8209739623394,1045.7138803817684,1216.889472306626,1103.8209739623394,1103.8209739623394,25.746006475506785,25.746006475506785,25.746006475506785,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908367444,0.17589882908367444,0.17589882908367444,25.57010764642311,25.57010764642311,25.57010764642311,0.0,0.0,0.0,1129.5669804378463
2015-09-04,1103.600443743296,1041.3520158297754,1210.116163488691,1103.600443743296,1103.600443743296,24.270284357712715,24.270284357712715,24.270284357712715,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356211157,-1.6114527356211157,-1.6114527356211157,25.88173709333383,25.88173709333383,25.88173709333383,0.0,0.0,0.0,1127.8707281010086
2015-09-07,1102.9388530861659,1045.8203315206424,1216.0737781210187,1102.9388530861659,1102.9388530861659,26.070083939690328,26.070083939690328,26.070083939690328,0.0,0.0,0.0,0.0,0.0,0.0,-0.29225170016602076,-0.29225170016602076,-0.29225170016602076,26.36233563985635,26.36233563985635,26.36233563985635,0.0,0.0,0.0,1129.008937025856
2015-09-08,1102.7183228671227,1043.9394182049095,1211.2180000850135,1102.7183228671227,1102.7183228671227,25.41896451290974,25.41896451290974,25.41896451290974,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591384534,-0.9664435591384534,-0.9664435591384534,26.385408072048193,26.385408072048193,26.385408072048193,0.0,0.0,0.0,1128.1372873800324
2015-09-09,1102.782704127395,1041.9396179245532,1209.669852487826,1102.782704127395,1102.782704127395,25.839506733953097,25.839506733953097,25.839506733953097,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396684434,-0.5102600396684434,-0.5102600396684434,26.349766773621546,26.349766773621546,26.349766773621546,0.0,0.0,0.0,1128.622210861348
2015-09-10,1102.8470853876672,1045.8139754143876,1219.3241264046883,1102.8470853876672,1102.8470853876672,26.43840835321104,26.43840835321104,26.43840835321104,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908305707,0.17589882908305707,0.17589882908305707,26.262509524127985,26.262509524127985,26.262509524127985,0.0,0.0,0.0,1129.2854937408783
2015-09-11,1102.9114666479397,1042.1170804459555,1213.2022418736703,1102.9114666479397,1102.9114666479397,24.519746910487754,24.519746910487754,24.519746910487754,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356195234,-1.6114527356195234,-1.6114527356195234,26.13119964610728,26.13119964610728,26.13119964610728,0.0,0.0,0.0,1127.4312135584275
2015-09-14,1103.104610428757,1044.3875825848024,1214.5690913146911,1103.104610428757,1103.104610428757,25.258107639125218,25.258107639125218,25.258107639125218,0.0,0.0,0.0,0.0,0.0,0.0,-0.29225170016884777,-0.29225170016884777,-0.29225170016884777,25.550359339294065,25.550359339294065,25.550359339294065,0.0,0.0,0.0,1128.3627180678823
2015-09-15,1103.1689916890293,1044.0757195518268,1216.5626832692599,1103.1689916890293,1103.1689916890293,24.352685300330904,24.352685300330904,24.352685300330904,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591413016,-0.9664435591413016,-0.9664435591413016,25.319128859472208,25.319128859472208,25.319128859472208,0.0,0.0,0.0,1127.5216769893602
2015-09-16,1103.2333729493018,1041.9911326430379,1212.9537821120584,1103.2333729493018,1103.2333729493018,24.569824168491888,24.569824168491888,24.569824168491888,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396654292,-0.5102600396654292,-0.5102600396654292,25.080084208157317,25.080084208157317,25.080084208157317,0.0,0.0,0.0,1127.8031971177936
2015-09-18,1103.3621354698466,1042.979812589839,1208.660605722324,1103.3621354698466,1103.3621354698466,22.987565652178,22.987565652178,22.987565652178,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356212385,-1.6114527356212385,-1.6114527356212385,24.599018387799237,24.599018387799237,24.599018387799237,0.0,0.0,0.0,1126.3497011220247
2015-09-21,1103.555279250664,1046.456244242572,1212.4431691604393,1103.555279250664,1103.555279250664,23.625375583529518,23.625375583529518,23.625375583529518,0.0,0.0,0.0,0.0,0.0,0.0,-0.29225170017167457,-0.29225170017167457,-0.29225170017167457,23.91762728370119,23.91762728370119,23.91762728370119,0.0,0.0,0.0,1127.1806548341935
2015-09-22,1103.6196605109362,1037.1754528654412,1213.2494944447149,1103.6196605109362,1103.6196605109362,22.739057416637692,22.739057416637692,22.739057416637692,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591353662,-0.9664435591353662,-0.9664435591353662,23.705500975773056,23.705500975773056,23.705500975773056,0.0,0.0,0.0,1126.358717927574
2015-09-23,1103.6840417712087,1043.2753868432696,1201.6855083448288,1103.6840417712087,1103.6840417712087,22.98890967706558,22.98890967706558,22.98890967706558,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396703124,-0.5102600396703124,-0.5102600396703124,23.49916971673589,23.49916971673589,23.49916971673589,0.0,0.0,0.0,1126.6729514482743
2015-09-24,1103.748423031481,1045.2000221801604,1209.708170214328,1103.748423031481,1103.748423031481,23.4718722972015,23.4718722972015,23.4718722972015,0.0,0.0,0.0,0.0,0.0,0.0,0.1758988290830266,0.1758988290830266,0.1758988290830266,23.295973468118472,23.295973468118472,23.295973468118472,0.0,0.0,0.0,1127.2202953286826
2015-09-28,1104.0059480725708,1047.6364269734995,1216.966678069803,1104.0059480725708,1104.0059480725708,22.140678375084683,22.140678375084683,22.140678375084683,0.0,0.0,0.0,0.0,0.0,0.0,-0.29225170016968777,-0.29225170016968777,-0.29225170016968777,22.432930075254365,22.432930075254365,22.432930075254365,0.0,0.0,0.0,1126.1466264476555
2015-09-29,1104.0703293328431,1043.6388418178105,1205.6816393252823,1104.0703293328431,1104.0703293328431,21.213316932605316,21.213316932605316,21.213316932605316,0.0,0.0,0.0,0.0,0.0,0.0,-0.966443559139712,-0.966443559139712,-0.966443559139712,22.17976049174503,22.17976049174503,22.17976049174503,0.0,0.0,0.0,1125.2836462654484
2015-09-30,1104.1347105931156,1042.5635963318066,1212.9749584425106,1104.1347105931156,1104.1347105931156,21.390856520003794,21.390856520003794,21.390856520003794,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396672983,-0.5102600396672983,-0.5102600396672983,21.90111655967109,21.90111655967109,21.90111655967109,0.0,0.0,0.0,1125.5255671131195
2015-10-01,1104.1990918533882,1043.234672651405,1200.6924690503504,1104.1990918533882,1104.1990918533882,21.767982821395695,21.767982821395695,21.767982821395695,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908240934,0.17589882908240934,0.17589882908240934,21.592083992313285,21.592083992313285,21.592083992313285,0.0,0.0,0.0,1125.9670746747838
