ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,diwali,diwali_lower,diwali_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-09-01,88.10994159087231,25.6849804981068,196.81040042014715,88.10994159087231,88.10994159087231,24.558344474911088,24.558344474911088,24.558344474911088,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396637648,-0.5102600396637648,-0.5102600396637648,25.06860451457485,25.06860451457485,25.06860451457485,0.0,0.0,0.0,112.6682860657834
2004-09-02,88.28782595613596,25.7352078799026,189.60912619665436,88.28782595613596,88.28782595613596,25.655694325037935,25.655694325037935,25.655694325037935,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908271628,0.17589882908271628,0.17589882908271628,25.47979549595522,25.47979549595522,25.47979549595522,0.0,0.0,0.0,113.9435202811739
2004-09-03,88.4657103213996,30.212235074590144,205.04666155614268,88.4657103213996,88.4657103213996,24.199774633235617,24.199774633235617,24.199774633235617,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356208534,-1.6114527356208534,-1.6114527356208534,25.811227368856468,25.811227368856468,25.811227368856468,0.0,0.0,0.0,112.66548495463522
2004-09-06,88.99936341719054,33.40124594070276,200.1728134887602,88.99936341719054,88.99936341719054,26.054373866987824,26.054373866987824,26.054373866987824,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001702727,-0.2922517001702727,-0.2922517001702727,26.3466255671581,26.3466255671581,26.3466255671581,0.0,0.0,0.0,115.05373728417837
2004-09-07,89.17724778245419,30.49268639272894,202.62470605327331,89.17724778245419,89.17724778245419,25.418964372700707,25.418964372700707,25.418964372700707,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591361544,-0.9664435591361544,-0.9664435591361544,26.38540793183686,26.38540793183686,26.38540793183686,0.0,0.0,0.0,114.59621215515489
2004-09-08,89.35513214771782,29.69649550217325,200.74106996238075,89.35513214771782,89.35513214771782,25.8535431505339,25.8535431505339,25.8535431505339,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396670218,-0.5102600396670218,-0.5102600396670218,26.36380319020092,26.36380319020092,26.36380319020092,0.0,0.0,0.0,115.20867529825172
2004-09-09,89.53301651298148,32.96426076461523,199.2516265896588,89.53301651298148,89.53301651298148,26.46465368242509,26.46465368242509,26.46465368242509,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908463156,0.17589882908463156,0.17589882908463156,26.28875485334046,26.28875485334046,26.28875485334046,0.0,0.0,0.0,115.99767019540657
2004-09-10,89.71090087824513,30.414418003475305,194.89417648238586,89.71090087824513,89.71090087824513,24.55628016713881,24.55628016713881,24.55628016713881,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356208217,-1.6114527356208217,-1.6114527356208217,26.16773290275963,26.16773290275963,26.16773290275963,0.0,0.0,0.0,114.26718104538394
2004-09-13,90.24455397403605,29.44734917909848,192.51264298753247,90.24455397403605,90.24455397403605,25.313977467611288,25.313977467611288,25.313977467611288,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001730996,-0.2922517001730996,-0.2922517001730996,25.606229167784388,25.606229167784388,25.606229167784388,0.0,0.0,0.0,115.55853144164735
2004-09-14,90.42243833929972,29.605836469804277,201.64533566630445,90.42243833929972,90.42243833929972,24.411456226813137,24.411456226813137,24.411456226813137,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591361086,-0.9664435591361086,-0.9664435591361086,25.377899785949246,25.377899785949246,25.377899785949246,0.0,0.0,0.0,114.83389456611286
2004-09-15,90.60032270456335,35.32262741866876,197.00180100487813,90.60032270456335,90.60032270456335,24.63000730765377,24.63000730765377,24.63000730765377,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396671821,-0.5102600396671821,-0.5102600396671821,25.14026734732095,25.14026734732095,25.14026734732095,0.0,0.0,0.0,115.23033001221712
2004-09-16,90.77820706982699,29.717722670029957,194.28127965864374,90.77820706982699,90.77820706982699,25.07484248394294,25.07484248394294,25.07484248394294,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908268567,0.17589882908268567,0.17589882908268567,24.898943654860258,24.898943654860258,24.898943654860258,0.0,0.0,0.0,115.85304955376994
2004-09-17,90.95609143509064,26.586502497135417,198.57986889200978,90.95609143509064,90.95609143509064,23.047087469109268,23.047087469109268,23.047087469109268,0.0,0.0,0.0,0.0,0.0,0.0,-1.61145273562001,-1.61145273562001,-1.61145273562001,24.658540204729277,24.658540204729277,24.658540204729277,0.0,0.0,0.0,114.00317890419991
2004-09-20,91.48974453088158,26.955852150624874,202.45462354158343,91.48974453088158,91.48974453088158,23.67952567509625,23.67952567509625,23.67952567509625,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001711127,-0.2922517001711127,-0.2922517001711127,23.97177737526736,23.97177737526736,23.97177737526736,0.0,0.0,0.0,115.16927020597782
2004-09-21,91.66762889614522,32.066807125500546,200.23707152161396,91.66762889614522,91.66762889614522,22.791464036606087,22.791464036606087,22.791464036606087,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591389565,-0.9664435591389565,-0.9664435591389565,23.757907595745046,23.757907595745046,23.757907595745046,0.0,0.0,0.0,114.4590929327513
2004-09-22,91.84551326140887,35.879557286273204,198.40433640453986,91.84551326140887,91.84551326140887,23.040077839706985,23.040077839706985,23.040077839706985,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396673427,-0.5102600396673427,-0.5102600396673427,23.550337879374325,23.550337879374325,23.550337879374325,0.0,0.0,0.0,114.88559110111585
2004-09-23,92.02339762667252,27.151153088772286,195.15084675931868,92.02339762667252,92.02339762667252,23.522558873320637,23.522558873320637,23.522558873320637,0.0,0.0,0.0,0.0,0.0,0.0,0.1758988290807399,0.1758988290807399,0.1758988290807399,23.346660044239897,23.346660044239897,23.346660044239897,0.0,0.0,0.0,115.54595649999315
2004-09-24,92.20128199193617,41.321917107340944,200.94146957252997,92.20128199193617,92.20128199193617,21.53205900634477,21.53205900634477,21.53205900634477,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356191977,-1.6114527356191977,-1.6114527356191977,23.14351174196397,23.14351174196397,23.14351174196397,0.0,0.0,0.0,113.73334099828094
2004-09-27,92.7349350877271,30.91626520484394,197.34669831235317,92.7349350877271,92.7349350877271,22.20060086445703,22.20060086445703,22.20060086445703,0.0,0.0,0.0,0.0,0.0,0.0,-0.29225170016920055,-0.29225170016920055,-0.29225170016920055,22.492852564626233,22.492852564626233,22.492852564626233,0.0,0.0,0.0,114.93553595218413
2004-09-28,92.91281945299075,30.61055554679951,195.53721942299552,92.91281945299075,92.91281945299075,21.278796644396795,21.278796644396795,21.278796644396795,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591374125,-0.9664435591374125,-0.9664435591374125,22.245240203534205,22.245240203534205,22.245240203534205,0.0,0.0,0.0,114.19161609738754
2004-09-29,93.0907038182544,26.83808172553647,206.17124078494896,93.0907038182544,93.0907038182544,21.46318216101805,21.46318216101805,21.46318216101805,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396643285,-0.5102600396643285,-0.5102600396643285,21.973442200682385,21.973442200682385,21.973442200682385,0.0,0.0,0.0,114.55388597927245
2004-09-30,93.26858818351803,28.29274572481092,201.4072860768128,93.26858818351803,93.26858818351803,21.848340158509853,21.848340158509853,21.848340158509853,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908265517,0.17589882908265517,0.17589882908265517,21.672441329427198,21.672441329427198,21.672441329427198,0.0,0.0,0.0,115.11692834202789
2004-10-01,93.44647254878168,26.66386510974817,200.0871221147519,93.44647254878168,93.44647254878168,19.726258314609254,19.726258314609254,19.726258314609254,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356201327,-1.6114527356201327,-1.6114527356201327,21.337711050229384,21.337711050229384,21.337711050229384,0.0,0.0,0.0,113.17273086339094
2004-10-04,93.98012564457262,32.39032935112339,200.51169032439134,93.98012564457262,93.98012564457262,19.805003697594866,19.805003697594866,19.805003697594866,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001672885,-0.2922517001672885,-0.2922517001672885,20.097255397762154,20.097255397762154,20.097255397762154,0.0,0.0,0.0,113.7851293421675
2004-10-05,94.15801000983626,37.30544580317681,192.79869617027865,94.15801000983626,94.15801000983626,18.63215551045196,18.63215551045196,18.63215551045196,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591388651,-0.9664435591388651,-0.9664435591388651,19.598599069590822,19.598599069590822,19.598599069590822,0.0,0.0,0.0,112.79016552028821
